sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
1,53.115346738469206,1.0483163265428268,50.09912461353782,53.8549658701617,45.416215336187406,45.92838983565988
2,55.94710485084847,1.058570699143351,53.71886806294329,55.40934065225598,46.009498572817904,46.400113379990636
3,58.58449895915828,1.0680044482485935,57.74690493400401,57.056998109687854,46.3594555979743,46.893591957766034
4,60.968362219325854,1.0763285833446046,60.0724649985388,59.40467691982328,47.81528401298293,47.65980928447108
5,63.04930366341567,1.083286833711877,63.64762793941535,61.4968822454705,48.867506268867615,48.67226264778071
6,64.78943307381496,1.088667423651365,61.83751866421493,62.342382298386724,49.24730196971262,49.4909626680281
7,66.1636205697249,1.0923127578655807,64.17989469117943,65.15199489395268,51.0717653893661,50.46222644699593
8,67.16024113641774,1.0941265132077103,61.974405198585075,65.93976059512045,50.45295569921123,51.19316046610191
9,67.78137536889312,1.0940777693661639,74.12052797636859,65.15570275398582,52.671602907822084,52.07138615164375
10,68.04245990807689,1.0922019670570342,67.5864564452542,64.71032170419299,52.52217636439749,52.79144989916629
11,67.97140351076051,1.0885986495807733,57.91722945854178,64.50781232522768,53.63843039742186,53.2645077207175
12,67.60720649485081,1.0834261131833807,61.952989442215326,62.179079167521685,54.67208412697877,53.70389222336113
13,66.99814154714912,1.0768932544447907,60.96185830375852,61.96567634039968,52.8182448069673,54.332963186344365
14,66.19957174347948,1.0692490501632592,62.47686218783863,62.41237648433703,54.868525421040246,54.70348397143173
15,65.27149637982849,1.060770229017259,66.51944230964418,62.78052586137452,55.66753117931366,54.62429198372804
16,64.27592624506195,1.051747788031411,60.150730178228486,62.96544547559752,55.49103432285864,55.46000609461446
17,63.27419682978998,1.042473065536119,63.79373632740279,61.977655806177225,54.276124188460365,55.759473092199904
18,62.32433038177766,1.0332241027675553,61.88645637487348,60.6881204537141,56.99681536139936,56.15926143468137
19,61.47855558781145,1.024253007439285,57.53791384073715,61.01949992077052,56.36586040896751,56.857493915438546
20,60.781087073160236,1.0157749755778853,60.0717655473286,60.275862682479875,57.66647289172093,57.890669686848995
21,60.266256133295045,1.0079595357595041,61.80762751351058,58.98608632066479,58.98219672664453,58.66564829283671
22,59.957069590401666,1.0009244576097163,60.075550135949534,58.7967432383992,59.44200304551264,59.860030521700956
23,59.864255994856386,0.9947326206532776,55.43757456579811,59.07215736868251,60.87170839133791,60.67625671406281
24,59.98583829363384,0.9893919782049845,56.5911984294092,57.853603971004155,62.337771553288796,61.71219108010799
25,60.30725038730716,0.9848585826977891,61.4488361987451,57.79745534907613,61.747603853530165,62.66388872576414
26,60.80199258419678,0.981042472737702,55.71486052511887,59.177791489514945,64.16186855687046,63.843130772550204
27,61.43279875282667,0.9778160672229483,59.79480702630941,61.248837780239704,64.20049127379338,65.04985178644225
28,62.153266882218276,0.9750245764280275,62.33925526799219,60.70960757162103,66.76791862526824,66.17826303611389
29,62.909885648069206,0.9724978313361264,66.94642988303295,62.726409876528486,68.37137662274895,67.66962864036185
30,63.644373234810196,0.9700628565601184,58.75268515565172,63.91424176833853,67.38966010188841,68.89791435727946
31,64.29623174903837,0.9675564730117875,65.79887204965614,64.18376350611268,71.61869657811029,69.83271178277894
32,64.80541160841251,0.9648372161635725,65.73396648535962,64.09596300249137,70.34191985838142,70.77119336664376
33,65.11497566901178,0.9617958943003939,63.686863956863,65.71416883909504,71.44190575276566,72.12688275218564
34,65.1736527533212,0.9583641864849979,66.5074273649264,65.43900912208146,73.06378454207298,72.45281427940817
35,64.9381746652314,0.9545207879766464,66.84371433867001,64.53946541214165,74.1681070295978,72.8595320537134
36,64.37529954723823,0.950294745701899,64.42307346458826,64.59590035135574,73.24835421422303,73.169804222901
37,63.46343718999239,0.9457657807794305,61.23624793566056,65.49087928602115,72.37550872990745,72.98478546425997
38,62.19380812381935,0.941061560693424,63.96903865293348,63.986108790364824,72.99326659870381,72.63230247330746
39,60.57108734225481,0.9363520515314143,70.98232203825347,62.829418158213436,72.13869074886782,71.9570579504913
40,58.61350455072983,0.9318412416694533,59.319861860388365,61.06505658076966,72.4056920748352,71.02672858937329
41,56.35239503813359,0.9277566736846781,58.63962030383133,57.87759957163739,69.8721316001422,69.43187371467678
42,53.83121772630145,0.9243373432252816,52.41444004844166,52.905360585343395,67.72386192431748,67.36499326098992
43,51.1040787433261,0.9218206154559536,48.03175360727212,48.633175202048896,65.0189922252212,64.74024827240389
44,48.23381909899376,0.9204288665285708,46.12112710678355,45.16995357149436,61.8042884804336,62.02560016650985
