blue_relative_gain_error_percent,concentration_bias_mg_m3,rmse_with_1p84_noise_floor_mg_m3
0.0,0.0,1.84
0.1,1.6782745593093649,2.490422754558961
0.2,3.354873357422573,3.826326599278191
0.30000000000000004,5.029799737504193,5.355789895001227
0.4,6.703057032725767,6.951012414315945
0.5,8.374648566302627,8.574400189463672
0.6000000000000001,10.04457765153647,10.211715830248405
0.7000000000000001,11.712847591851805,11.85649183822722
0.8,13.379461680838109,13.505391326022927
0.9,15.044423202285884,15.156525640445368
1.0,16.70773543022846,16.808748412850715
1.1,18.369401628977624,18.461324876798137
1.2000000000000002,20.029425053165056,20.113763147664738
1.3,21.6878089477776,21.765722063724468
1.4000000000000001,23.34455654819828,23.416957967080762
1.5,24.99967108024122,25.067292516748775
1.6,26.653155760192288,26.71659244696208
1.7000000000000002,28.305013794843642,28.364756405199195
1.8,29.955248381533977,30.01170614276026
1.9000000000000001,31.603862708182753,31.65738046771502
2.0,33.25085995333004,33.301731000594664
