wavelength_nm,blue_pilot_normalized_power,green_data_normalized_power,red_pilot_normalized_power
400.0,1.5258789062500007e-05,1.874348507969361e-07,3.6075319958766425e-91
401.0,2.3672966015087482e-05,2.376549687606911e-07,1.7847855793272387e-90
402.0,3.6402574213729437e-05,3.007788816536483e-07,8.775787181394761e-90
403.0,5.5482795298915545e-05,3.799720652204492e-07,4.2885481949306484e-89
404.0,8.381685994807313e-05,4.791371950014118e-07,2.082853311906578e-88
405.0,0.00012550217610547687,6.030759233098837e-07,1.0053823416930043e-87
406.0,0.0001862592893935315,7.576837662494208e-07,4.823119239076995e-87
407.0,0.00027398793760787855,9.501843256049402e-07,2.2995821158316916e-86
408.0,0.00039947698271489954,1.1894101194569452e-06,1.0896675647495673e-85
409.0,0.0005772964603312737,1.4861384957513797e-06,5.131724146094297e-85
410.0,0.000826899719104031,1.8534924715412367e-06,2.4019101644019406e-84
411.0,0.0011739608396918672,2.307417894763757e-06,1.1173118242653396e-83
412.0,0.0016519663326170382,2.8672500834404533e-06,5.1655456921668776e-83
413.0,0.00230406957944172,3.556385077700679e-06,2.3734615357016415e-82
414.0,0.0031852007107601747,4.403072861728132e-06,1.0838579468780916e-81
415.0,0.004364402883094613,5.44135239399328e-06,4.919112016695415e-81
416.0,0.00592733782208442,6.712151042534139e-06,2.218836166795532e-80
417.0,0.007978869137696798,8.264574073753111e-06,9.946904262588655e-80
418.0,0.010645592071341942,1.0157413202283198e-05,4.431745552029729e-79
419.0,0.014078134649397724,1.2460906887098442e-05,1.9623924975571467e-78
420.0,0.018453010334836414,1.5258789062500007e-05,8.636168555094496e-78
421.0,0.023973759890837196,1.8650667324286297e-05,3.777291688289504e-77
422.0,0.030871085015924945,2.2754776247571256e-05,1.6419658254376285e-76
423.0,0.03940165393078941,2.7711156482177482e-05,7.093684722769048e-76
424.0,0.04984525553268852,3.3685315534246375e-05,3.0458171581880386e-75
425.0,0.0625,4.0872431668187006e-05,1.2997503801885606e-74
426.0,0.0776753151503949,4.950216810875017e-05,5.5123940492146234e-74
427.0,0.09568257327893695,5.984417063250725e-05,2.323511011982579e-73
428.0,0.11682330416812702,7.221432763936927e-05,9.73359770863365e-73
429.0,0.1413751049191573,8.698187779874485e-05,4.0525299049140097e-72
430.0,0.169575540930959,0.00010457745626314966,1.6768848523349711e-71
431.0,0.20160453540977194,0.00012550217610547687,6.8961140095828585e-71
432.0,0.23756595385686818,0.00015033784691349716,2.8185763386236487e-70
433.0,0.2774692881749866,0.00017975843719175583,1.1449310900336534e-69
434.0,0.3212125130009017,0.00021454289117775666,4.6222461904236214e-69
435.0,0.3685673043227753,0.0002555894136521303,1.8546030753437235e-68
436.0,0.41916785810013035,0.00030393133806223404,7.3955939046778495e-68
437.0,0.47250450840610564,0.00036075469351167346,2.9310235904862796e-67
438.0,0.5279232099232789,0.0004274175845976584,1.1544888683002723e-66
439.0,0.5846317152228222,0.0005054714943856024,4.5194372773202285e-66
440.0,0.6417129487814521,0.0005966846146591787,1.7583412109220103e-65
441.0,0.6981456723153691,0.0007030672986230848,6.799016956120292e-65
442.0,0.7528320741440238,0.0008268997191040295,2.6128427394375425e-64
443.0,0.8046314312209424,0.0009707617996289079,9.979403808361067e-64
444.0,0.852398523948498,0.0011375654661972825,3.788088346246515e-63
445.0,0.8950250709279725,0.0013305892437605073,1.4290906562235432e-62
446.0,0.9314821318134288,0.0015535151930464361,5.358258210411824e-62
447.0,0.9608612343271888,0.0018104681501346345,1.9966947421341626e-61
448.0,0.982411939933184,0.0021060571928459802,7.394756679595868e-61
449.0,0.9955736831881946,0.002445419214374466,2.7218255103760195e-60
450.0,1.0,0.002834264435543577,9.95682444457815e-60
451.0,0.9955736831881946,0.003278923632587337,3.619975217460561e-59
452.0,0.982411939933184,0.0037863967975132794,1.3080204159695063e-58
453.0,0.9608612343271888,0.0043644028830946095,4.69729272979615e-58
454.0,0.9314821318134288,0.005021430214689054,1.6765052072086682e-57
455.0,0.8950250709279725,0.005766787076866315,5.946841526559549e-57
456.0,0.852398523948498,0.006610651904878647,2.096486170840593e-56
457.0,0.8046314312209424,0.007564122430136042,7.345507666871712e-56
458.0,0.7528320741440238,0.008639263046033773,2.5578543348364538e-55
459.0,0.6981456723153691,0.00984914957689873,8.852256279200422e-55
460.0,0.6417129487814521,0.01120791054983156,3.0447828615984974e-54
461.0,0.5846317152228222,0.012730763988373093,1.0408373110403508e-53
462.0,0.5279232099232789,0.014434048669944561,3.5361734208103047e-53
463.0,0.47250450840610564,0.016335248717799733,1.1940112995975881e-52
464.0,0.41916785810013035,0.018453010334836414,4.006890699743751e-52
465.0,0.3685673043227753,0.02080714943322417,1.3363823550460946e-51
466.0,0.3212125130009017,0.023418648872700433,4.429739093279242e-51
467.0,0.2774692881749866,0.02630964399391312,1.4593173304255147e-50
468.0,0.23756595385686818,0.02950339512372031,4.777993013886991e-50
469.0,0.20160453540977194,0.033024245739244645,1.554767517132298e-49
470.0,0.169575540930959,0.03689756500899438,5.028165739724217e-49
471.0,0.1413751049191573,0.04114967348464234,1.6161359402735172e-48
472.0,0.11682330416812702,0.04580775079804313,5.1626225020805017e-48
473.0,0.09568257327893695,0.05089972432644025,1.6390304781434622e-47
474.0,0.0776753151503949,0.05645413792592453,5.171635008875304e-47
475.0,0.0625,0.0625,1.6217835156067266e-46
476.0,0.04984525553268852,0.0690666103670859,5.054545084952123e-46
477.0,0.03940165393078941,0.07618336561789123,1.5656527507904886e-45
